SOFTWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Title,Description,Creator,Contributor,Publisher,Type,Identifier,Release Date,Language,Format,Metadata standards,Status,Has Part,Is Part Of,Academic field,Research activities,Methodology,Downloads,Current Version,Landing Page,Bibliographic References,Research Project,Software reuse,Access point,Documentation,Access Rights,License,Code repository URL,Input format,Output format,Programming language,Based on
EVT,EVT 2.0,EVT (Edition Visualization Technology) is a software designed for web-based digital editions of diplomatic texts. It provides a complete set of flexible and highly customizable tools developed to enable users to visualize; read; and compare editions in an electronic environment.,Roberto Rosselli del Turco ( https://orcid.org/0000-0002-8945-9314 ),Giulia Cacioli; Chiara Di Pietro; Angelo Del Grosso ( https://orcid.org/0000-0002-4867-6304 ); Chiara Martignano; Jurgen Memaj; Federica Spinelli; Simone Zenzaro.,Laboratorio di Cultura Digitale (LabCD); Università di Pisa,http://purl.org/spar/fabio/ComputerProgram,http://hdl.handle.net/2318/1759002,2021,ITA http://publications.europa.eu/resource/authority/language/ITA  ; ENG http://publications.europa.eu/resource/authority/language/ENG  ,HTML https://publications.europa.eu/resource/authority/file-type/HTML  ; CSS https://publications.europa.eu/resource/authority/file-type/CSS  ; JS https://publications.europa.eu/resource/authority/file-type/JS  ; JSON https://publications.europa.eu/resource/authority/file-type/JSON ,,Completed https://publications.europa.eu/resource/authority/dataset-status/COMPLETED ,,Digital Vercelli Book http://vbd.humnet.unipi.it/ ; Codice Pelavicino https://pelavicino.labcd.unipi.it/ ,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-01  ; https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-10 ,https://vocabs.dariah.eu/tadirah/publishing  ; https://vocabs.dariah.eu/tadirah/dataVisualization ,,http://evt.labcd.unipi.it/releases/evt2-beta2.zip,2.01,http://evt.labcd.unipi.it/,https://doi.org/10.6092/issn.2532-8816/9322 ,Edition Visualization Technology,,,https://evt.readthedocs.io/en/latest/ ,Open Access http://purl.org/coar/access_right/c_abf2,GNU AGPL 3.0 https://www.gnu.org/licenses/agpl-3.0.html ,https://github.com/evt-project/evt-viewer/,XML/TEI https://www.iana.org/assignments/media-types/application/tei+xml ;  http://publications.europa.eu/resource/authority/file-type/XML ,HTML https://publications.europa.eu/resource/authority/file-type/HTML  ; CSS https://publications.europa.eu/resource/authority/file-type/CSS  ; JS https://publications.europa.eu/resource/authority/file-type/JS  ; JSON https://publications.europa.eu/resource/authority/file-type/JSON ,JS https://publications.europa.eu/resource/authority/file-type/JS ,EVT 1
Voyant Tools,Voyant tools,Voyant Tools is a web-based text reading and analysis environment. It is a scholarly project that is designed to facilitate reading and interpretive practices for digital humanities students and scholars as well as for the general public.,Stéfan Sinclair ; Geoffrey Rockwell ( https://orcid.org/0000-0001-7430-4742 ),Andrew MacDonald ; Kaylin Land ; Bennett Kuwan Tchoh ; Ayushi Khemka ; Catherine Bevan ; Elliot Damasah ; Cyril Briquet ; Lisa Goddard ; Mark Turcato,Voyant Tools Team,http://purl.org/spar/fabio/ComputerProgram,/,2024-06-20,ENG http://publications.europa.eu/resource/authority/language/ENG ,HTML https://publications.europa.eu/resource/authority/file-type/HTML  ; CSS https://publications.europa.eu/resource/authority/file-type/CSS  ; JS https://publications.europa.eu/resource/authority/file-type/JS ,,Develop http://publications.europa.eu/resource/authority/dataset-status/DEVELOP ,,,https://w3id.org/italia/controlled-vocabulary/classifications-for-universities/academic-disciplines/Area-01 ,https://vocabs.dariah.eu/tadirah/contentAnalysis  ; https://vocabs.dariah.eu/tadirah/dataVisualization  ; https://vocabs.dariah.eu/tadirah/dataMining ,,https://github.com/voyanttools/VoyantServer/archive/refs/tags/2.6.14.zip,2.06.14,https://voyant-tools.org/,https://doi.org/10.1002/9781118680605.ch19 ,Voyant Tools,,,https://voyant-tools.org/docs/#!/guide,Open Access http://purl.org/coar/access_right/c_abf2,GPL-3.0 https://www.gnu.org/licenses/gpl-3.0.html ,https://github.com/voyanttools/Voyant,HTML https://publications.europa.eu/resource/authority/file-type/HTML ; XML https://publications.europa.eu/resource/authority/file-type/XML ; PDF https://publications.europa.eu/resource/authority/file-type/PDF ; RTF  https://publications.europa.eu/resource/authority/file-type/RTF ; DOCX https://publications.europa.eu/resource/authority/file-type/DOCX ; TXT https://publications.europa.eu/resource/authority/file-type/TXT ,HTML https://publications.europa.eu/resource/authority/file-type/HTML  ; CSS https://publications.europa.eu/resource/authority/file-type/CSS  ; JS https://publications.europa.eu/resource/authority/file-type/JS  ,JS https://publications.europa.eu/resource/authority/file-type/JS ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,